Project_ID,Department,Investment_Cost,Expected_Cashflow_Year1,Expected_Cashflow_Year2,Expected_Cashflow_Year3,Historical_ROI,Market_Growth,Project_Risk,NPV,Profitability_Index,Simple_Payback_Period,Capital_Efficiency,Risk_Adjusted_Return,Predicted_NPV,Predicted_Success_Probability,Expected_Value,Priority_Score,Recommendation,Rank
1,Operations,"$184,654",583556,2348816,"$1,888,756",8.00%,0.05,Low,"$3,706,072",20.070358836369635,0.11490298535937135,3.200473927373703,$3,"$2,536,573",23.3%,"$590,980",0.49859999999999993,Review,23
46,Marketing,"$1,107,293",1746548,452690,"$2,706,138",15.00%,0.08,Low,"$2,887,763",2.6079487621751882,0.6771915139630414,0.5192030459270977,$1,"$2,321,384",24.8%,"$574,910",0.48780000000000007,Review,24
20,Operations,"$3,103,758",698663,1509933,"$2,928,391",10.00%,0.0,Medium,"$979,412",0.3155568814778238,1.8125944254860995,0.13283436026374842,$0,"$1,149,426",35.9%,"$412,286",0.41940000000000005,Review,25
11,Operations,"$3,516,664",1936222,1744490,"$489,792",24.00%,0.07,Medium,"$53,253",0.015143064527141743,2.529668356628458,0.000568723103137178,$0,"$5,534",36.1%,"$2,000",0.41400000000000003,Review,26
30,Marketing,"$4,010,197",1399380,2211196,"$1,611,729",11.00%,0.14,Low,"$300,317",0.07488839073235952,2.3036936754925437,0.01510650493949882,$0,"$176,177",34.4%,"$60,580",0.3861,Review,27
27,IT,"$2,657,489",636146,429989,"$2,464,976",16.00%,0.01,High,"$128,161",0.04822646793234808,2.2577786424706634,0.009518386546341096,$0,"$124,492",20.3%,"$25,295",0.3447,Review,28
17,Marketing,"$1,925,665",1218727,819598,"$466,880",9.00%,0.08,Low,"$210,396",0.10925898825435845,2.3059969144214074,0.024082621201227596,$0,"$188,339",24.6%,"$46,375",0.3438,Review,29
50,IT,"$2,804,238",74538,2004109,"$1,516,976",5.00%,0.01,Medium,"$59,539",0.02123171048475752,2.339709697038032,0.004643654486137106,$0,"$150,956",8.6%,"$13,022",0.2826,Review,30
19,Marketing,"$3,497,723",183767,924371,"$2,888,128",19.00%,0.12,Medium,"$-396,826",-0.11345260971329293,2.625743381444609,-0.008909445316591052,$-0,"$-58,112",53.6%,"$-31,163",0.112,Reject,31
8,Finance,"$2,763,046",566588,264020,"$2,265,603",21.00%,0.05,High,"$-327,587",-0.11855994653203218,2.6771876981226304,-0.04500149697622183,$-0,"$-191,698",64.9%,"$-124,341",0.10925,Reject,32
2,Marketing,"$2,054,354",1447527,541234,"$278,576",15.00%,-0.01,Low,"$-81,821",-0.03982822104375641,2.7181940752485603,-0.06309494775957791,$-0,"$-229,144",56.6%,"$-129,619",0.08875,Reject,33
4,Operations,"$3,574,675",1817640,189182,"$1,434,250",22.00%,0.1,Medium,"$-688,353",-0.1925637957230612,3.1164779464046815,-0.10185286106891868,$-0,"$-536,505",67.9%,"$-364,091",0.08850000000000001,Reject,34
48,Operations,"$3,466,612",1555127,71959,"$1,965,631",25.00%,0.0,Low,"$-516,582",-0.1490164663577373,2.894699471177751,-0.027895969461557587,$-0,"$-359,126",26.9%,"$-96,705",0.08685,Reject,35
22,Finance,"$2,769,995",186330,1023548,"$863,168",25.00%,0.06,High,"$-1,106,186",-0.39934576012879053,4.008586881327271,-0.24431657471310358,$-0,"$-1,021,472",66.3%,"$-676,756",0.07400000000000001,Reject,36
24,Marketing,"$4,898,669",1400224,2071900,"$1,450,804",10.00%,-0.04,Medium,"$-823,414",-0.16808923462987632,2.9852167246791024,-0.06633153868635563,$-0,"$-524,421",62.0%,"$-324,936",0.07375000000000001,Reject,37
32,Finance,"$3,684,702",338998,1625557,"$887,291",22.00%,0.06,High,"$-1,366,452",-0.37084453554267227,3.8761230445081436,-0.15207765855043728,$-0,"$-949,429",59.0%,"$-560,361",0.07300000000000001,Reject,38
26,IT,"$4,255,299",63986,1978434,"$319,536",24.00%,0.04,High,"$-2,321,988",-0.5456698486716021,5.404798819276814,-0.26809141300101125,$-0,"$-1,719,859",66.3%,"$-1,140,809",0.06725,Reject,39
38,Finance,"$3,869,315",1129111,592335,"$1,479,626",21.00%,0.0,Medium,"$-1,241,652",-0.3208972345480835,3.626268012712342,-0.0651943896261818,$-0,"$-886,972",28.4%,"$-252,258",0.066825,Reject,40
5,Operations,"$2,752,991",792139,1571101,"$111,087",12.00%,0.09,High,"$-650,973",-0.23646018114969736,3.3378664178138084,-0.057485339279753724,$-0,"$-616,335",25.7%,"$-158,257",0.06592500000000001,Reject,41
34,IT,"$2,399,435",678776,250235,"$1,333,743",13.00%,0.15,Low,"$-573,499",-0.23901429606055996,3.1812141310944346,-0.07729027744709106,$-0,"$-508,501",36.5%,"$-185,453",0.06457500000000001,Reject,42
6,Marketing,"$2,528,388",482315,1256914,"$1,063,343",9.00%,0.01,Low,"$-252,243",-0.09976419086797031,2.7065010283382125,-0.013256800133510046,$-0,"$-171,139",19.6%,"$-33,518",0.06457500000000001,Reject,43
14,Operations,"$2,895,513",98984,172409,"$115,318",22.00%,0.13,Medium,"$-2,576,401",-0.8897907377327171,22.46261161418375,-0.6489993097495269,$-1,"$-2,515,096",74.7%,"$-1,879,186",0.0645,Reject,44
21,IT,"$4,156,518",1802126,1204454,"$820,746",8.00%,0.05,High,"$-906,166",-0.2180109625068989,3.258032892936276,-0.052043020125881974,$-0,"$-624,886",34.6%,"$-216,318",0.06390000000000001,Reject,45
44,Marketing,"$2,979,190",1920230,177948,"$156,081",11.00%,-0.04,High,"$-969,196",-0.325321961804023,3.9647485049358155,-0.14057081261607526,$-0,"$-913,440",45.8%,"$-418,787",0.05775,Reject,46
12,Operations,"$3,485,659",1028732,1217752,"$89,353",13.00%,0.15,Low,"$-1,476,909",-0.4237101930894228,4.476758010078002,-0.17107326459338257,$-0,"$-1,034,445",57.6%,"$-596,303",0.05375,Reject,47
29,Marketing,"$2,405,413",62666,1469945,"$227,789",9.00%,0.1,High,"$-962,472",-0.40012758033482954,4.09920415813889,-0.11125777175817607,$-0,"$-1,161,122",23.0%,"$-267,621",0.0432,Reject,48
23,IT,"$4,550,812",530754,1263475,"$275,281",15.00%,0.1,High,"$-2,817,291",-0.6190744550760048,6.596941304937019,-0.14963948811047967,$-0,"$-1,979,693",34.4%,"$-680,981",0.04095,Reject,49
47,Marketing,"$4,874,183",539570,549046,"$160,078",14.00%,0.02,Low,"$-3,809,639",-0.7815953612512512,11.710274094345667,-0.12089928465308393,$-0,"$-2,652,401",22.2%,"$-589,285",0.031950000000000006,Reject,50
